id	name	group	type	description	size
Node28	"GO:0004930~G-protein coupled receptor activity"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0004930~G-protein coupled receptor activity"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2
Node29	GO:0005622~intracellular	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	GO:0005622~intracellular	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1
Node30	GO:0005856~cytoskeleton	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	GO:0005856~cytoskeleton	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node31	"GO:0005886~plasma membrane"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0005886~plasma membrane"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	3
Node32	"GO:0005886~plasma membrane"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0005886~plasma membrane"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	3
Node33	"GO:0005886~plasma membrane"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0005886~plasma membrane"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	3
Node34	"GO:0005886~plasma membrane"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0005886~plasma membrane"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	3
Node35	"GO:0005905~clathrin-coated pit"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0005905~clathrin-coated pit"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node36	"GO:0006954~inflammatory response"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0006954~inflammatory response"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1
Node37	"GO:0006954~inflammatory response"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0006954~inflammatory response"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1
Node38	"GO:0006970~response to osmotic stress"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0006970~response to osmotic stress"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node39	"GO:0006997~nucleus organization"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0006997~nucleus organization"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node40	"GO:0007165~signal transduction"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0007165~signal transduction"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node41	"GO:0007165~signal transduction"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0007165~signal transduction"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2
Node42	"GO:0007166~cell surface receptor signaling pathway"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0007166~cell surface receptor signaling pathway"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node43	"GO:0007186~G-protein coupled receptor signaling pathway"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0007186~G-protein coupled receptor signaling pathway"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2
Node44	"GO:0007186~G-protein coupled receptor signaling pathway"	C57B6_analy_5d24h_moderated_ttest_p_0.01_1261_probes.txt	"GO:0007186~G-protein coupled receptor signaling pathway"	"ptsd -> mouse -> T5R1 -> mRNA_Microarray"	2
Node45	"GO:0007186~G-protein coupled receptor signaling pathway"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0007186~G-protein coupled receptor signaling pathway"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2
Node46	"GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node47	"GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0007188~adenylate cyclase-modulating G-protein coupled receptor signaling pathway"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node48	"GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node49	GO:0007283~spermatogenesis	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	GO:0007283~spermatogenesis	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node50	"GO:0007420~brain development"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0007420~brain development"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node51	"GO:0008289~lipid binding"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0008289~lipid binding"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node52	"GO:0008360~regulation of cell shape"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0008360~regulation of cell shape"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node53	"GO:0008360~regulation of cell shape"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0008360~regulation of cell shape"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node54	GO:0016020~membrane	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	GO:0016020~membrane	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	4
Node55	GO:0016020~membrane	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	GO:0016020~membrane	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	5
Node56	"GO:0016021~integral component of membrane"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0016021~integral component of membrane"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	4
Node57	"GO:0016021~integral component of membrane"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0016021~integral component of membrane"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	4
Node58	"GO:0018149~peptide cross-linking"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0018149~peptide cross-linking"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node59	"GO:0019725~cellular homeostasis"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0019725~cellular homeostasis"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node60	"GO:0019725~cellular homeostasis"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0019725~cellular homeostasis"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node61	"GO:0030122~AP-2 adaptor complex"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0030122~AP-2 adaptor complex"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node62	"GO:0030132~clathrin coat of coated pit"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0030132~clathrin coat of coated pit"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node63	"GO:0030136~clathrin-coated vesicle"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0030136~clathrin-coated vesicle"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node64	"GO:0030136~clathrin-coated vesicle"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0030136~clathrin-coated vesicle"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node65	"GO:0030154~cell differentiation"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0030154~cell differentiation"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1
Node66	"GO:0030154~cell differentiation"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0030154~cell differentiation"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1
Node67	"GO:0030246~carbohydrate binding"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0030246~carbohydrate binding"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node68	"GO:0030317~sperm motility"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0030317~sperm motility"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node69	GO:0030425~dendrite	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	GO:0030425~dendrite	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node70	GO:0030425~dendrite	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	GO:0030425~dendrite	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node71	GO:0030673~axolemma	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	GO:0030673~axolemma	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node72	"GO:0030863~cortical cytoskeleton"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0030863~cortical cytoskeleton"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node73	"GO:0030864~cortical actin cytoskeleton"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0030864~cortical actin cytoskeleton"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node74	"GO:0031983~vesicle lumen"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0031983~vesicle lumen"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node75	"GO:0032026~response to magnesium ion"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0032026~response to magnesium ion"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node76	"GO:0032743~positive regulation of interleukin-2 production"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0032743~positive regulation of interleukin-2 production"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node77	"GO:0032743~positive regulation of interleukin-2 production"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0032743~positive regulation of interleukin-2 production"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node78	"GO:0042101~T cell receptor complex"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0042101~T cell receptor complex"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node79	"GO:0042101~T cell receptor complex"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0042101~T cell receptor complex"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node80	GO:0042311~vasodilation	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	GO:0042311~vasodilation	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node81	GO:0042311~vasodilation	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	GO:0042311~vasodilation	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node82	"GO:0042803~protein homodimerization activity"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0042803~protein homodimerization activity"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node83	"GO:0043025~neuronal cell body"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0043025~neuronal cell body"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node84	"GO:0043025~neuronal cell body"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0043025~neuronal cell body"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node85	"GO:0043195~terminal bouton"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0043195~terminal bouton"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node86	"GO:0043197~dendritic spine"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0043197~dendritic spine"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node87	"GO:0043197~dendritic spine"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0043197~dendritic spine"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node88	"GO:0043235~receptor complex"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0043235~receptor complex"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node89	"GO:0043235~receptor complex"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0043235~receptor complex"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node90	"GO:0045211~postsynaptic membrane"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0045211~postsynaptic membrane"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node91	"GO:0045211~postsynaptic membrane"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0045211~postsynaptic membrane"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node92	"GO:0045785~positive regulation of cell adhesion"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0045785~positive regulation of cell adhesion"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node93	"GO:0045785~positive regulation of cell adhesion"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0045785~positive regulation of cell adhesion"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node94	"GO:0048268~clathrin coat assembly"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0048268~clathrin coat assembly"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node95	"GO:0048545~response to steroid hormone"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0048545~response to steroid hormone"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node96	"GO:0048814~regulation of dendrite morphogenesis"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0048814~regulation of dendrite morphogenesis"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node97	"GO:0048814~regulation of dendrite morphogenesis"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0048814~regulation of dendrite morphogenesis"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node98	"GO:0050729~positive regulation of inflammatory response"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0050729~positive regulation of inflammatory response"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node99	"GO:0050885~neuromuscular process controlling balance"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0050885~neuromuscular process controlling balance"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node100	"GO:0051481~negative regulation of cytosolic calcium ion concentration"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0051481~negative regulation of cytosolic calcium ion concentration"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node101	"GO:0051481~negative regulation of cytosolic calcium ion concentration"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0051481~negative regulation of cytosolic calcium ion concentration"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node102	"GO:0051497~negative regulation of stress fiber assembly"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0051497~negative regulation of stress fiber assembly"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node103	"GO:0051497~negative regulation of stress fiber assembly"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0051497~negative regulation of stress fiber assembly"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node104	"GO:0051592~response to calcium ion"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0051592~response to calcium ion"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node105	"GO:0051726~regulation of cell cycle"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0051726~regulation of cell cycle"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node106	"GO:0055072~iron ion homeostasis"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0055072~iron ion homeostasis"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node107	"GO:0055072~iron ion homeostasis"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0055072~iron ion homeostasis"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node108	"GO:0060326~cell chemotaxis"	C57B6_analy_5d24h_moderated_ttest_p_0.05_4089_probes.txt	"GO:0060326~cell chemotaxis"	"ptsd -> mouse -> T5R1 -> mRNA_Microarray"	1
Node109	"GO:0060326~cell chemotaxis"	C57B6_analy_5d24h_moderated_ttest_p_0.01_1261_probes.txt	"GO:0060326~cell chemotaxis"	"ptsd -> mouse -> T5R1 -> mRNA_Microarray"	1
Node110	"Inflammatory response"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"Inflammatory response"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node111	Integrin	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	Integrin	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node112	"IPR000276:G protein-coupled receptor, rhodopsin-like"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"IPR000276:G protein-coupled receptor, rhodopsin-like"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node113	"IPR000276:G protein-coupled receptor, rhodopsin-like"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"IPR000276:G protein-coupled receptor, rhodopsin-like"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1
Node114	"IPR001102:Transglutaminase, N-terminal"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"IPR001102:Transglutaminase, N-terminal"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node115	"IPR001590:Peptidase M12B, ADAM/reprolysin"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"IPR001590:Peptidase M12B, ADAM/reprolysin"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node116	"IPR001762:Blood coagulation inhibitor, Disintegrin"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"IPR001762:Blood coagulation inhibitor, Disintegrin"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node117	"IPR002870:Peptidase M12B, propeptide"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"IPR002870:Peptidase M12B, propeptide"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node118	IPR002931:Transglutaminase-like	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	IPR002931:Transglutaminase-like	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node119	"IPR006539:Phospholipid-transporting  P-type ATPase, subfamily IV"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"IPR006539:Phospholipid-transporting  P-type ATPase, subfamily IV"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node120	"IPR006539:Phospholipid-transporting  P-type ATPase, subfamily IV"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"IPR006539:Phospholipid-transporting  P-type ATPase, subfamily IV"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node121	"IPR006586:ADAM, cysteine-rich"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"IPR006586:ADAM, cysteine-rich"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0
Node122	"IPR007087:Zinc finger, C2H2"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"IPR007087:Zinc finger, C2H2"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1
Node123	"IPR007087:Zinc finger, C2H2"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"IPR007087:Zinc finger, C2H2"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1
Node124	"IPR008958:Transglutaminase, C-terminal"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"IPR008958:Transglutaminase, C-terminal"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node125	"IPR011016:Zinc finger, RING-CH-type"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"IPR011016:Zinc finger, RING-CH-type"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node126	"IPR011016:Zinc finger, RING-CH-type"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"IPR011016:Zinc finger, RING-CH-type"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
Node127	"IPR013808:Transglutaminase, conserved site"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"IPR013808:Transglutaminase, conserved site"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0
