sourceId	targetId
APOD	C1QB
C4A	C3
RGS4	PLCB1
SRC	TYROBP
HS6ST2	NDST1
FYN	GRB2
C1QA	LRP1
ANXA2	SNAP23
APOE	LRP1
ACTB	ANXA2
THBS1	LRP1
PLCD4	PLCB1
CLEC7A	TLR2
LPL	APOE
LPL	CTSC
SRC	PLCB1
CLU	APOE
EPS15	SH3GL1
SRC	ADAM17
PIK3R1	PLCG1
SRC	THBS1
PLG	APOE
CLN3	CTSD
CD68	TIMP1
MVD	SQLE
IDI1	HMGCS1
LPL	APOA1
SH3GLB1	SH3GL1
THBS1	TIMP1
SRC	PLG
C4B	C1QB
SRC	ANXA2
GUSB	NAGLU
SH3D19	SH3GL1
LAMP2	CD68
APOE	CTSC
PDGFB	PIK3R1
SOAT1	APOE
CST7	CTSC
MME	PIK3R1
CD14	FCER1G
PPAP2B	GPLD1
FDPS	MVD
GM2A	HEXA
SH3GLB1	DNM1
PLAU	TIMP1
LDLR	APOE
C1QA	FN1
NCKAP1	CYFIP1
P2RY6	PIK3R1
SRC	PIK3R1
PLCD4	SRC
ACTB	PLG
PDGFB	TIMP1
PLCD4	PLCE1
FYN	THBS1
SRC	GRB2
FYN	PLCB1
PLG	TIMP1
SRC	FYN
CLU	SERPING1
TLR2	C3
FYN	PDGFB
APOD	CLU
PTGS1	CAV2
PLG	ITGB2
ACTB	VIM
C3	LRP1
LRP1	APOA1
SH3GLB1	AMPH
APOD	LPL
HS6ST2	GNS
LAMP2	CTSD
CH25H	CYP7B1
FYN	PIK3CB
FN1	LGALS3BP
GNS	NAGLU
C4A	C3AR1
C1QA	C3
ADAM9	TIMP1
HS6ST2	SULF2
HEXA	IDUA
PLCB4	PLCE1
C1QC	C1QB
GRB2	PIK3R1
PLAU	PLG
FDPS	PLG
MME	CD68
HMGCS1	MVK
FYN	PLCG1
DNM1	PIK3R1
IDI1	SQLE
CTSB	CTSD
PLAU	ITGB2
IDI1	MVK
C4A	SERPING1
ADAM9	SH3D19
COL4A3BP	STARD4
FYN	PLCB4
PLAU	LRP1
SRC	CTSB
HSD3B7	SQLE
FN1	PLAT
FCER1G	PLCG1
VAMP8	SNAP23
SRC	LRP1
SRC	MVD
PPAP2B	LPL
GM2A	GPLD1
APOA1	GPLD1
HMGCS1	CYP7B1
ITGB2	LRP1
ACTB	PIK3CB
GRB2	LRP1
GALNS	GNS
SERPING1	C3
PLAU	PLAT
NCKAP1	GRB2
APOD	APOA1
LRP1	PLAT
SRC	ITGB2
ANXA2	PLG
SGPL1	SGPP2
IDI1	FDPS
SRC	APOE
ANXA2	CAV2
C4A	C1QA
SCAMP2	SNAP23
MAG	FN1
GFAP	CD68
MVD	GNS
LPL	LRP1
CYP7B1	PLAT
SRC	GFAP
HMGCS1	APOE
FN1	C1QB
MME	APOE
CYP7B1	HSD3B7
S100A10	PLG
PDGFB	THBS1
DNM1	SH3GL1
CST7	CTSB
PLCD4	PIK3CB
EPS15	GRB2
MME	FN1
ITGB2	C3
HEXB	NAGLU
S100A10	CTSB
FN1	TIMP1
SH3GLB1	SRC
SERPING1	TIMP1
GUSB	CTSD
ADAM17	TIMP1
CLU	APOA1
EPS15	FYN
CH25H	SQLE
PIK3CB	TYROBP
FN1	CTSD
FN1	THBS1
C4B	C1QA
HEXA	HEXB
GBA	GUSB
FN1	CLU
DNM1	SRC
SRC	PLCE1
TLR2	CD68
CTSD	CTSH
PIK3R1	TLR2
C4B	C1QC
CD14	ITGB2
ANXA2	ADAM17
CLU	PLG
VAMP5	VAMP8
LDLR	HMGCS1
PLG	PLAT
APOD	APOE
GALNS	NAGLU
THBS2	LRP1
PLCB1	PLCB4
FN1	VIM
GUSB	HEXA
ITGB2	PLAT
PLCB4	P2RY6
LDLR	MVK
DNM1	ACTB
PLCB1	PLCG1
CLU	CTSD
THBS1	APOE
SRC	PLCB4
GRB2	PDGFB
MVD	MVK
PLCB1	P2RY6
SOAT1	LPL
CTSB	APOE
CLU	TIMP1
PTGS1	TLR2
GM2A	HEXB
LDLR	SOAT1
DNM1	EPS15
CLN3	CTSH
CTSB	TIMP1
GALNS	IDUA
PLAU	SRC
PLCD4	PLCG1
ANXA2	PLAT
DNM1	AMPH
GBA	HEXA
DNM1	PLCG1
PIK3CB	PIK3R1
GRB2	FCER1G
RGS4	C3
IDI1	CYP7B1
THBS2	PLG
PLCD4	PLCB4
FDPS	MVK
HEXB	GNS
PPAP2B	SGPP2
HMGCS1	SQLE
LDLR	CD68
FCGR2B	SRC
C4B	C3AR1
HEXA	NAGLU
HEXA	GNS
MME	PIK3CB
GRB2	PIK3CB
CAPN1	GNS
CD14	TLR2
EPS15	SRC
C1QA	C1QC
C4B	SERPING1
CTSD	CTSZ
SRC	CAV2
FN1	FYN
IDI1	MVD
C1QA	C1QB
TLR2	LRP1
AMPH	GRB2
SQLE	MVK
FDPS	HMGCS1
MME	GBA
FCGR2B	FCER1G
FN1	APOD
C4B	CLU
APOE	CTSD
PLCB1	PLCE1
SRC	TIMP1
PLAU	FN1
ADAM9	SH3GLB1
TYROBP	CD68
PDGFB	LRP1
C4B	C3
C1QC	SERPING1
C4B	PLG
TLR2	APOE
PLG	SERPING1
ACTB	GUSB
FYN	CAV2
MAG	FYN
FCER1G	TYROBP
SRC	PIK3CB
SLCO2B1	"Androgen metabolism"
HSD3B7	"Androgen metabolism"
CYP7B1	"Androgen metabolism"
NCKAP1	"Caveolic vesicle"
EPS15	"Caveolic vesicle"
DNM1	"Caveolic vesicle"
CYFIP1	"Caveolic vesicle"
CAV2	"Caveolic vesicle"
AMPH	"Caveolic vesicle"
ACTB	"Caveolic vesicle"
STARD4	"Cholesterol homeostasis"
SQLE	"Cholesterol homeostasis"
SOAT1	"Cholesterol homeostasis"
SC4MOL	"Cholesterol homeostasis"
OSBPL6	"Cholesterol homeostasis"
MVK	"Cholesterol homeostasis"
MVD	"Cholesterol homeostasis"
IDI1	"Cholesterol homeostasis"
HMGCS1	"Cholesterol homeostasis"
FDPS	"Cholesterol homeostasis"
DBI	"Cholesterol homeostasis"
CYP51	"Cholesterol homeostasis"
CH25H	"Cholesterol homeostasis"
BZRP	"Cholesterol homeostasis"
ABCA1_C	"Cholesterol homeostasis"
C4B	"Complement activation"
C4A	"Complement activation"
C3AR1	"Complement activation"
C3	"Complement activation"
C1QC	"Complement activation"
C1QB	"Complement activation"
C1QA	"Complement activation"
TIMP1	ECM
THBS2	ECM
THBS1	ECM
SERPINA3N	ECM
PDGFB	ECM
ELA1	ECM
CLU	ECM
SH3GLB1	Endocytosis
SH3GL1	Endocytosis
SH3D19	Endocytosis
PRSS18	Endocytosis
ADAM9	Endocytosis
ADAM17	Endocytosis
TYROBP	"Fcg receptors"
TLR2	"Fcg receptors"
MSR2	"Fcg receptors"
LGALS3BP	"Fcg receptors"
FCGR3	"Fcg receptors"
FCGR2B	"Fcg receptors"
FCER1G	"Fcg receptors"
CLEC7A	"Fcg receptors"
CD84	"Fcg receptors"
CD68	"Fcg receptors"
CD300D	"Fcg receptors"
CD14	"Fcg receptors"
SULF2	"GAG metabolism"
RENBP	"GAG metabolism"
NDST1	"GAG metabolism"
NAGLU	"GAG metabolism"
IDUA	"GAG metabolism"
HS6ST2	"GAG metabolism"
HEXB	"GAG metabolism"
HEXA	"GAG metabolism"
GUSB	"GAG metabolism"
GPLD1	"GAG metabolism"
GNS	"GAG metabolism"
GM2A	"GAG metabolism"
GALNS	"GAG metabolism"
VAMP8	Golgi
VAMP5	Golgi
SNAP23	Golgi
SCAMP2	Golgi
ATP6V0E	Golgi
ATP6V0A2	Golgi
ABCA1_G	Golgi
LRP1	"Lipid acceptors"
LPL	"Lipid acceptors"
LDLR	"Lipid acceptors"
APOE	"Lipid acceptors"
APOD	"Lipid acceptors"
APOA1	"Lipid acceptors"
ABCA1_L	"Lipid acceptors"
A2M_Lipid	"Lipid acceptors"
PPGB	"Lysosomal Proteases"
LAMP2	"Lysosomal Proteases"
CTSZ	"Lysosomal Proteases"
CTSL	"Lysosomal Proteases"
CTSH	"Lysosomal Proteases"
CTSD	"Lysosomal Proteases"
CTSC	"Lysosomal Proteases"
CTSB	"Lysosomal Proteases"
CTLA2B	"Lysosomal Proteases"
CST7	"Lysosomal Proteases"
CLN3	"Lysosomal Proteases"
CAPN1	"Lysosomal Proteases"
A2M_Lyso	"Lysosomal Proteases"
NPC2	"Lysosomal Proteases"
SERPING1	Plasminogen
S100A10	Plasminogen
PLG	Plasminogen
PLAU	Plasminogen
PLAT	Plasminogen
ANXA2	Plasminogen
PTGS1	PM
FN1	PM
CCL9	PM
VIM	"Reactive astrogliosis"
P2RY6	"Reactive astrogliosis"
ITGB2	"Reactive astrogliosis"
GFAP	"Reactive astrogliosis"
SRC	Signaling
RGS4	Signaling
RAB3C	Signaling
PLCG1	Signaling
PLCE1	Signaling
PLCD4	Signaling
PLCB4	Signaling
PLCB1	Signaling
PIK3R1	Signaling
PIK3CB	Signaling
MTAP2	Signaling
MME	Signaling
MAG	Signaling
GRB2	Signaling
FYN	Signaling
UGT8A	"Sphingolipid metabolism"
SGPP2	"Sphingolipid metabolism"
SGPL1	"Sphingolipid metabolism"
PPAP2B	"Sphingolipid metabolism"
GBA	"Sphingolipid metabolism"
COL4A3BP	"Sphingolipid metabolism"
B4GALT1	"Sphingolipid metabolism"
ASAHL	"Sphingolipid metabolism"
